Wordsin the spoken component 
__________________
Number	Word	Tag	Frequency
1224	boat nn1		627
1225	instance nn1		627
1226	june np0		627
1227	necessarily av0		626
1228	workers nn2		625
1229	read vvb		624
1230	sector nn1		624
1231	sister nn1		624
1232	congress nn1		623
1233	coal nn1		621
1234	stop vvb		621
1235	wan vvi		621
1236	like cjs		620
1237	shit nn1		620
1238	bread nn1		619
1239	cheap aj0		618
1240	generally av0		616
1241	needs nn2		616
1242	learn vvi		615
1243	mark np0		615
1244	recently av0		615
1245	starts vvz		614
1246	till cjs		612
1247	int unc		611
1248	charge nn1		610
1249	resources nn2		609
1250	tend vvb		609
1251	eventually av0		608
1252	village nn1		607
1253	jim np0		606
1254	died vvd		605
1255	letters nn2		605
1256	right nn1		605
1257	afraid aj0		604
1258	client nn1		604
1259	tony np0		604
1260	cut vvi		603
1261	wear vvi		602
1262	around prp-avp		601
1263	worked vvn		601
1264	wrote vvd		601
1265	clothes nn2		600
1266	'em pnp		597
1267	up prp		597
1268	work vvb-nn1		597
1269	ahead av0		595
1270	process nn1		595
1271	specific aj0		594
1272	turn vvb		594
1273	useful aj0		594
1274	sa unc		593
1275	pick vvb		592
1276	policies nn2		592
1277	prices nn2		592
1278	means nn0		590
1279	transport nn1		590
1280	lucky aj0		589
1281	sites nn2		589
1282	support vvi		589
1283	responsibility nn1		588
1284	death nn1		587
1285	lights nn2		586
1286	d unc		585
1287	george np0		585
1288	plenty pni		585
1289	range nn1		585
1290	bother vvi		584
1291	buying vvg		584
1292	heart nn1		584
1293	sick aj0		584
1294	discussion nn1		583
1295	extent nn1		583
1296	horrible aj0		582
1297	product nn1		581
1298	ha unc		580
1299	lines nn2		580
1300	cat nn1		579
1301	countries nn2		579
1302	field nn1		579
1303	jane np0		579
1304	bill nn1		578
1305	heavy aj0		576
1306	hopefully av0		576
1307	england np0		575
1308	tha unc		575
1309	add vvb		574
1310	nottingham np0		572
1311	weather nn1		570
1312	conditions nn2		569
1313	paragraph nn1		569
1314	started vvn		569
1315	set vvn		568
1316	looked vvn		567
1317	housing nn1		565
1318	seemed vvd		565
1319	close aj0		564
1320	earth nn1		564
1321	sun nn1		564
1322	benefit nn1		563
1323	excellent aj0		563
1324	pair nn0		563
